Index,HPD,WW,Instrumentalist,Composer,Anxiety,Depression,Insomnia,OCD,total_score,JHPD
460,10.0,Yes,No,No,2.0,1.0,2.0,2.0,22.0,10.029241433265057
461,10.0,No,No,No,0.0,0.0,0.0,0.0,28.0,9.94578048079109
462,10.0,Yes,No,No,8.0,8.0,5.0,0.0,12.0,10.057781983676584
463,4.0,No,No,No,1.0,1.0,1.0,0.0,8.0,4.063035088170524
464,4.0,Yes,No,No,8.0,7.0,6.0,2.0,7.0,3.9754500638254386
465,3.0,No,No,No,6.0,5.0,4.0,0.0,0.0,2.9318622915359436
466,2.0,Yes,No,No,5.0,4.0,6.0,2.0,21.0,2.030903155382462
467,1.0,No,Yes,No,3.0,1.0,0.0,2.0,3.0,0.9176880742436192
468,6.0,Yes,Yes,No,4.0,8.0,2.0,2.0,23.0,6.0731236656829815
469,1.0,Yes,No,No,5.0,6.0,3.0,1.0,15.0,0.9644546147212616
470,1.0,Yes,Yes,Yes,0.0,0.0,2.0,1.0,17.0,1.0612931159998624
471,4.0,Yes,No,No,7.0,6.0,7.0,4.0,6.0,4.0548535528202265
472,2.0,Yes,No,No,8.0,5.0,6.0,1.0,16.0,1.943798151522051
473,2.0,Yes,No,No,4.0,4.0,2.0,0.0,15.0,2.011117551592053
474,2.0,Yes,Yes,Yes,9.0,8.0,10.0,9.0,3.0,1.9411821151178406
475,6.0,Yes,No,No,5.0,5.0,7.0,0.0,24.0,6.043806221718358
476,3.0,Yes,No,No,4.0,6.0,8.0,1.0,20.0,3.0224596929377974
477,1.0,Yes,No,No,4.0,8.0,5.0,0.0,10.0,1.0163878760977485
478,4.0,Yes,Yes,No,9.0,10.0,6.0,7.0,36.0,3.9655228826105073
479,0.5,No,No,No,3.0,2.0,2.0,2.0,17.0,0.4130879617737439
480,8.0,Yes,No,No,6.0,2.0,2.0,1.0,19.0,8.075446685434931
481,15.0,Yes,No,No,2.0,0.0,3.0,0.0,17.0,14.954120099797878
482,1.5,Yes,Yes,No,10.0,8.0,0.0,4.0,32.0,1.429415278415908
483,2.0,Yes,Yes,No,4.0,4.0,2.0,2.0,9.0,2.088668298923153
484,3.0,Yes,Yes,No,7.0,8.0,6.0,2.0,11.0,2.9989591648835323
485,1.0,Yes,No,No,7.0,6.0,5.0,5.0,5.0,0.9546711524193362
486,0.25,Yes,No,No,1.0,0.0,0.0,0.0,22.0,0.19577181165650337
487,1.0,No,Yes,Yes,6.0,2.0,8.0,0.0,12.0,0.9236669914823067
488,1.0,Yes,No,Yes,4.0,5.0,7.0,0.0,23.0,1.0415218716415053
489,5.0,Yes,No,No,10.0,7.0,0.0,0.0,23.0,5.013720409191139
490,1.0,No,No,No,4.0,2.0,1.0,0.0,1.0,0.9887603575238579
491,1.0,Yes,No,No,7.0,6.0,2.0,3.0,16.0,0.9540012019905858
492,7.0,Yes,No,No,3.0,2.0,8.0,0.0,16.0,6.917844548300713
493,3.0,No,Yes,Yes,10.0,7.0,4.0,3.0,17.0,3.0996439504443147
494,3.0,Yes,No,No,4.0,0.0,0.0,0.0,7.0,3.040237237060946
495,7.0,Yes,No,No,7.0,7.0,0.0,0.0,18.0,6.959174474740178
496,8.0,Yes,No,No,6.0,7.0,4.0,1.0,13.0,7.964698176615486
497,2.0,Yes,No,No,7.0,6.0,2.0,7.0,24.0,2.062954918552401
498,2.0,Yes,No,No,6.0,5.0,8.0,0.0,4.0,2.0793315093421656
499,2.0,Yes,No,No,10.0,10.0,2.0,3.0,14.0,1.9968400741516281
500,2.0,Yes,No,No,7.0,6.0,5.0,1.0,18.0,1.9837266396280309
501,4.0,No,No,No,3.0,0.0,0.0,0.0,22.0,3.9462310846479043
502,8.0,Yes,No,No,8.0,2.0,1.0,0.0,19.0,7.927818512338444
503,4.0,Yes,No,No,7.0,6.0,6.0,5.0,25.0,3.965287970023959
504,1.0,No,No,No,3.0,2.0,5.0,0.0,19.0,1.0109736315397237
505,5.0,No,No,No,8.0,2.0,1.0,0.0,3.0,5.039540015190377
506,2.0,Yes,No,No,7.0,7.0,2.0,4.0,11.0,2.0223262686426446
507,1.0,No,No,No,5.0,1.0,1.0,1.0,24.0,0.956493228449405
508,5.0,Yes,No,No,1.0,2.0,1.0,0.0,10.0,5.0954556301592
509,8.0,Yes,No,No,2.0,1.0,2.0,2.0,11.0,7.954314005246391
510,2.0,Yes,No,No,5.0,2.0,4.0,0.0,20.0,1.959026578091778
511,2.0,Yes,No,No,7.0,2.0,1.0,0.0,8.0,1.9577160403309477
512,1.0,Yes,No,No,10.0,10.0,7.0,8.0,4.0,0.9917748039026403
513,8.0,Yes,No,No,7.0,2.0,1.0,6.0,7.0,8.013219686830809
514,8.0,Yes,No,No,6.0,4.0,1.0,0.0,11.0,8.00106039161662
515,1.0,No,No,No,5.0,9.0,6.0,1.0,10.0,0.9240906928771468
516,1.0,Yes,Yes,No,7.0,5.0,7.0,0.0,35.0,0.9451722255480137
517,8.0,Yes,No,No,7.0,6.0,7.0,4.0,16.0,7.990845384521254
518,2.0,Yes,No,No,0.0,0.0,0.0,0.0,11.0,2.093463477425059
519,6.0,Yes,No,No,3.0,5.0,0.0,2.0,21.0,5.9494035878616796
520,3.0,No,Yes,Yes,8.0,8.0,5.0,2.0,19.0,2.9829829148835225
521,4.0,Yes,Yes,No,8.0,7.0,10.0,6.0,24.0,4.097646866600654
522,2.0,Yes,No,No,2.0,4.0,5.0,2.0,0.0,2.060474226924733
523,3.0,Yes,Yes,No,7.0,3.0,9.0,2.0,10.0,3.0847246643850625
524,4.0,No,No,Yes,8.0,7.0,4.0,4.0,23.0,4.009106197115412
525,2.0,No,No,No,0.0,0.0,0.0,5.0,31.0,1.9643447723968084
526,1.0,Yes,No,No,8.0,6.0,9.0,8.0,13.0,0.9907495191237291
527,1.0,Yes,No,No,4.0,2.0,3.0,2.0,21.0,1.0058242219843117
528,1.0,No,No,No,3.0,2.0,2.0,2.0,23.0,0.9531588384303442
529,2.0,Yes,Yes,No,6.0,4.0,10.0,0.0,5.0,1.997256960758718
530,7.0,Yes,No,No,8.0,8.0,10.0,0.0,31.0,6.923858193761892
531,5.0,Yes,No,No,5.0,5.0,5.0,5.0,11.0,5.014128606427014
532,3.0,Yes,No,No,10.0,8.0,6.0,2.0,9.0,3.060027132099833
533,1.0,No,No,No,0.0,0.0,7.0,0.0,20.0,1.094619957701249
534,6.0,Yes,Yes,Yes,8.0,8.0,10.0,0.0,26.0,5.965371290735124
535,2.0,No,No,No,8.0,2.0,0.0,0.0,20.0,1.9954090516756182
536,3.0,Yes,Yes,Yes,7.0,8.0,4.0,10.0,26.0,3.063322283675009
537,1.5,Yes,No,No,0.0,2.0,0.0,1.0,7.0,1.5081149772905844
538,4.0,Yes,Yes,No,3.0,5.0,4.0,0.0,26.0,3.9496987540100696
539,2.0,Yes,Yes,No,5.0,2.0,3.0,1.0,10.0,1.9031339476625844
540,2.0,Yes,No,No,6.0,1.0,0.0,0.0,29.0,1.9273094849864807
541,2.0,No,No,No,6.0,3.0,4.0,2.0,3.0,2.006275079382698
542,1.0,Yes,Yes,Yes,5.0,6.0,8.0,2.0,12.0,0.971485368922659
543,3.0,Yes,No,No,8.0,4.0,7.0,5.0,11.0,3.046788569885766
544,3.0,Yes,No,No,1.0,1.0,2.0,3.0,7.0,3.080749121965018
545,2.0,No,Yes,No,8.0,3.0,1.0,3.0,15.0,1.9729973288275149
546,6.0,Yes,No,Yes,3.0,3.0,0.0,0.0,21.0,5.90201631356516
547,3.0,Yes,No,No,0.0,0.0,0.0,0.0,24.0,3.031689463529685
548,3.0,Yes,No,No,5.0,4.0,2.0,0.0,7.0,3.095430580702219
549,2.0,Yes,No,No,2.0,4.0,0.0,0.0,15.0,2.0560809328341625
550,2.0,Yes,No,No,4.0,6.0,0.0,2.0,6.0,1.991176673573074
551,2.0,Yes,No,Yes,5.0,7.0,2.0,0.0,0.0,2.0224288125026173
552,3.0,Yes,No,No,4.0,0.0,7.0,0.0,11.0,2.911979020725875
553,4.0,Yes,No,No,10.0,8.0,6.0,2.0,6.0,4.018962460624013
554,2.0,Yes,Yes,Yes,3.0,3.0,1.0,0.0,12.0,1.908919639322522
555,5.0,Yes,Yes,No,8.0,7.0,2.0,1.0,14.0,5.018669453580646
556,2.0,Yes,No,No,3.0,3.0,0.0,3.0,11.0,2.020538154109112
557,7.0,Yes,No,No,10.0,10.0,8.0,10.0,26.0,6.938522224360364
